vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
mid-size,3.6,6,Automatic,Ethanol (E85),14.4,237.0
full-size,3.6,6,Automatic,Regular gasoline,10.3,242.0
full-size,5.7,8,Automatic,Regular gasoline,12.3,289.0
full-size,3.6,6,Automatic,Regular gasoline,11.0,258.0
full-size,3.6,6,Automatic,Regular gasoline,11.0,258.0
full-size,3.6,6,Automatic,Ethanol (E85),15.0,248.0
minivan,3.6,6,Automatic,Regular gasoline,10.9,257.0
minivan,3.6,6,Automatic,Regular gasoline,10.6,249.0
mid-size,5.7,8,Manual,Premium gasoline,13.1,307.0
mid-size,6.4,8,Manual,Premium gasoline,13.9,325.0
mid-size,5.7,8,Automatic,Regular gasoline,12.3,289.0
mid-size,6.4,8,Automatic,Premium gasoline,12.9,302.0
mid-size,3.6,6,Automatic,Regular gasoline,11.0,258.0
mid-size,6.4,8,Manual,Premium gasoline,13.9,325.0
mid-size,6.4,8,Automatic,Premium gasoline,12.9,302.0
mid-size,6.2,8,Manual,Premium gasoline,15.1,352.0
full-size,3.6,6,Automatic,Regular gasoline,11.6,271.0
full-size,3.6,6,Automatic,Regular gasoline,10.3,242.0
full-size,5.7,8,Automatic,Regular gasoline,12.9,302.0
full-size,5.7,8,Automatic,Regular gasoline,12.3,289.0
full-size,6.4,8,Automatic,Premium gasoline,12.9,302.0
full-size,3.6,6,Automatic,Regular gasoline,11.0,258.0
full-size,3.6,6,Automatic,Regular gasoline,11.0,258.0
full-size,3.6,6,Automatic,Ethanol (E85),15.0,248.0
full-size,5.7,8,Automatic,Regular gasoline,13.3,312.0
full-size,6.4,8,Automatic,Premium gasoline,12.9,302.0
suv - standard,3.6,6,Automatic,Regular gasoline,11.3,265.0
suv - standard,5.7,8,Automatic,Regular gasoline,14.0,328.0
minivan,3.6,6,Automatic,Ethanol (E85),16.7,274.0
suv - small,2.4,4,Automatic,Regular gasoline,11.1,261.0
suv - small,3.6,6,Automatic,Regular gasoline,12.1,284.0
suv - small,3.6,6,Automatic,Ethanol (E85),16.4,274.0
suv - small,3.6,6,Automatic,Regular gasoline,12.4,292.0
two-seater,6.5,10,Manual,Premium gasoline,16.6,387.0
two-seater,1.4,4,Automatic,Regular gasoline,8.0,187.0
two-seater,1.4,4,Manual,Regular gasoline,7.9,185.0
minicompact,1.4,4,Automatic,Regular gasoline,8.0,186.0
minicompact,1.4,4,Manual,Regular gasoline,7.3,171.0
minicompact,1.4,4,Automatic,Regular gasoline,8.0,186.0
minicompact,1.4,4,Manual,Regular gasoline,7.0,163.0
minicompact,1.4,4,Automatic,Regular gasoline,8.7,202.0
minicompact,1.4,4,Manual,Regular gasoline,7.9,186.0
minicompact,1.4,4,Automatic,Regular gasoline,8.7,202.0
minicompact,1.4,4,Manual,Regular gasoline,7.9,186.0
station wagon - small,1.4,4,Automatic,Regular gasoline,9.4,221.0
suv - small,1.4,4,Manual,Regular gasoline,8.4,197.0
suv - small,2.4,4,Automatic,Regular gasoline,9.3,219.0
suv - small,2.4,4,Automatic,Regular gasoline,9.7,226.0
full-size,2.0,4,Continuously variable,Regular gasoline,5.9,138.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,9.9,233.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,9.8,230.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,11.5,270.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,10.4,244.0
suv - small,2.7,6,Automatic with select shift,Regular gasoline,12.0,281.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,12.1,284.0
suv - small,1.5,4,Automatic with select shift,Regular gasoline,9.1,214.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,9.5,222.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,9.7,229.0
suv - small,2.5,4,Automatic with select shift,Ethanol (E85),13.3,219.0
suv - small,1.5,4,Automatic with select shift,Regular gasoline,9.6,226.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,10.2,239.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,14.2,333.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,14.3,337.0
suv - standard,2.3,4,Automatic with select shift,Regular gasoline,10.8,254.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,12.0,281.0
suv - standard,2.3,4,Automatic with select shift,Regular gasoline,11.3,266.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,13.0,305.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,12.6,296.0
suv - standard,3.5,6,Automatic with select shift,Ethanol (E85),17.2,284.0
pickup truck - standard,2.7,6,Automatic with select shift,Regular gasoline,10.9,256.0
pickup truck - standard,2.7,6,Automatic with select shift,Regular gasoline,11.2,263.0
pickup truck - standard,2.7,6,Automatic with select shift,Regular gasoline,11.6,272.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,11.3,264.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,11.7,274.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,12.4,290.0
pickup truck - standard,3.5,6,Automatic,Regular gasoline,11.6,272.0
pickup truck - standard,3.5,6,Automatic,Ethanol (E85),15.8,258.0
pickup truck - standard,5.0,8,Automatic with select shift,Regular gasoline,13.2,310.0
pickup truck - standard,5.0,8,Automatic with select shift,Ethanol (E85),17.7,291.0
pickup truck - standard,5.0,8,Automatic with select shift,Regular gasoline,14.5,340.0
pickup truck - standard,5.0,8,Automatic with select shift,Ethanol (E85),17.7,291.0
pickup truck - standard,2.7,6,Automatic with select shift,Regular gasoline,11.8,276.0
pickup truck - standard,2.7,6,Automatic with select shift,Regular gasoline,12.5,293.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,12.1,284.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,12.3,288.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,12.7,298.0
pickup truck - standard,3.5,6,Automatic,Regular gasoline,12.5,293.0
pickup truck - standard,3.5,6,Automatic,Ethanol (E85),16.9,281.0
pickup truck - standard,5.0,8,Automatic with select shift,Regular gasoline,13.8,323.0
pickup truck - standard,5.0,8,Automatic with select shift,Ethanol (E85),18.4,305.0
pickup truck - standard,5.0,8,Automatic with select shift,Regular gasoline,14.1,330.0
pickup truck - standard,5.0,8,Automatic with select shift,Ethanol (E85),18.4,306.0
pickup truck - standard,5.0,8,Automatic with select shift,Ethanol (E85),18.4,326.0
pickup truck - standard,3.5,6,Automatic with select shift,Regular gasoline,14.5,339.0
subcompact,1.6,4,Automatic with select shift,Regular gasoline,7.6,178.0
subcompact,1.6,4,Manual,Regular gasoline,7.8,182.0
subcompact,1.0,3,Manual,Regular gasoline,6.8,158.0
compact,1.6,4,Manual,Regular gasoline,8.2,192.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,13.7,321.0
compact,1.0,3,Automatic with select shift,Regular gasoline,7.5,176.0
compact,1.0,3,Manual,Regular gasoline,7.0,164.0
compact,2.0,4,Automated manual,Regular gasoline,7.9,185.0
compact,2.0,4,Automated manual,Ethanol (E85),10.6,177.0
compact,2.0,4,Automatic with select shift,Regular gasoline,8.0,189.0
compact,2.0,4,Automatic with select shift,Ethanol (E85),10.9,182.0
compact,2.0,4,Manual,Regular gasoline,8.3,195.0
compact,2.0,4,Manual,Ethanol (E85),11.4,188.0
mid-size,2.3,4,Manual,Premium gasoline,10.9,256.0
mid-size,2.0,4,Manual,Regular gasoline,9.3,219.0
mid-size,1.5,4,Automatic with select shift,Regular gasoline,8.7,204.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,9.6,225.0
mid-size,2.5,4,Automatic,Regular gasoline,9.6,224.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,10.1,238.0
mid-size,2.7,6,Automatic with select shift,Regular gasoline,11.5,270.0
mid-size,2.0,4,Continuously variable,Regular gasoline,5.6,131.0
two-seater,3.5,6,Automated manual,Premium gasoline,17.3,406.0
subcompact,2.3,4,Automatic with select shift,Regular gasoline,9.6,226.0
subcompact,2.3,4,Automatic with select shift,Regular gasoline,10.2,239.0
subcompact,2.3,4,Manual,Regular gasoline,9.8,230.0
subcompact,2.3,4,Manual,Regular gasoline,9.8,230.0
subcompact,3.7,6,Automatic with select shift,Regular gasoline,11.1,259.0
subcompact,3.7,6,Manual,Regular gasoline,11.5,271.0
subcompact,5.0,8,Automatic with select shift,Regular gasoline,12.9,303.0
subcompact,5.0,8,Manual,Regular gasoline,13.1,307.0
subcompact,5.0,8,Manual,Regular gasoline,13.8,324.0
subcompact,2.3,4,Automatic with select shift,Regular gasoline,10.2,239.0
subcompact,2.3,4,Manual,Regular gasoline,10.1,237.0
subcompact,5.0,8,Automatic with select shift,Regular gasoline,13.2,309.0
subcompact,5.0,8,Manual,Regular gasoline,13.8,324.0
subcompact,5.2,8,Manual,Premium gasoline,14.6,341.0
van - passenger,3.5,6,Automatic with select shift,Regular gasoline,14.6,344.0
van - passenger,3.7,6,Automatic with select shift,Regular gasoline,15.1,354.0
van - passenger,3.7,6,Automatic with select shift,Ethanol (E85),18.4,343.0
full-size,2.0,4,Automatic with select shift,Regular gasoline,10.1,238.0
full-size,3.5,6,Automatic with select shift,Ethanol (E85),15.0,249.0
full-size,3.5,6,Automatic with select shift,Regular gasoline,12.4,291.0
full-size,3.5,6,Automatic with select shift,Ethanol (E85),16.3,271.0
special purpose vehicle,2.5,4,Automatic with select shift,Regular gasoline,10.4,244.0
special purpose vehicle,2.5,4,Automatic with select shift,Ethanol (E85),14.2,234.0
special purpose vehicle,2.5,4,Automatic with select shift,Regular gasoline,10.8,253.0
special purpose vehicle,2.5,4,Automatic with select shift,Ethanol (E85),14.7,242.0
full-size,3.8,6,Automatic with select shift,Regular gasoline,12.1,286.0
full-size,5.0,8,Automatic with select shift,Premium gasoline,14.2,332.0
full-size,3.3,6,Automatic with select shift,Premium gasoline,11.9,279.0
full-size,5.0,8,Automatic with select shift,Premium gasoline,13.0,306.0
suv - standard,2.5,4,Automatic,Regular gasoline,10.2,239.0
suv - standard,3.6,6,Automatic,Regular gasoline,11.3,265.0
suv - standard,2.5,4,Automatic,Regular gasoline,10.4,243.0
suv - standard,3.6,6,Automatic,Regular gasoline,11.6,271.0
pickup truck - small,2.5,4,Automatic,Regular gasoline,10.7,252.0
pickup truck - small,2.5,4,Manual,Regular gasoline,10.9,254.0
pickup truck - small,2.8,4,Automatic,Diesel,9.5,255.0
pickup truck - small,3.6,6,Automatic,Regular gasoline,11.7,274.0
pickup truck - small,2.5,4,Automatic,Regular gasoline,11.3,263.0
pickup truck - small,2.8,4,Automatic,Diesel,10.4,280.0
pickup truck - small,3.6,6,Automatic,Regular gasoline,12.2,286.0
van - passenger,6.0,8,Automatic,Regular gasoline,18.4,429.25010307770526
van - passenger,6.0,8,Automatic,Regular gasoline,18.4,429.25010307770526
pickup truck - standard,5.3,8,Automatic,Regular gasoline,12.7,297.0
pickup truck - standard,5.3,8,Automatic,Regular gasoline,13.1,309.0
pickup truck - standard,6.2,8,Automatic,Premium gasoline,13.8,323.0
pickup truck - standard,4.3,6,Automatic,Regular gasoline,11.9,279.0
pickup truck - standard,4.3,6,Automatic,Ethanol (E85),17.1,284.0
pickup truck - standard,5.3,8,Automatic,Regular gasoline,12.7,298.0
pickup truck - standard,5.3,8,Automatic,Ethanol (E85),17.1,284.0
pickup truck - standard,5.3,8,Automatic,Regular gasoline,13.9,327.0
pickup truck - standard,6.2,8,Automatic,Premium gasoline,14.1,330.0
pickup truck - standard,4.3,6,Automatic,Regular gasoline,12.5,294.0
pickup truck - standard,4.3,6,Automatic,Ethanol (E85),18.0,294.0
pickup truck - standard,5.3,8,Automatic,Regular gasoline,13.1,307.0
pickup truck - standard,5.3,8,Automatic,Ethanol (E85),17.9,317.0
pickup truck - standard,5.3,8,Automatic,Regular gasoline,13.0,303.0
suv - small,2.4,4,Automatic,Regular gasoline,9.4,221.0
suv - small,2.4,4,Automatic,Regular gasoline,9.4,221.0
suv - small,2.4,4,Automatic,Ethanol (E85),13.6,223.0
suv - small,3.6,6,Automatic,Regular gasoline,12.1,285.0
suv - small,2.4,4,Automatic,Regular gasoline,10.1,237.0
suv - small,3.6,6,Automatic,Regular gasoline,13.0,304.0
suv - standard,5.3,8,Automatic,Regular gasoline,13.0,305.0
suv - standard,5.3,8,Automatic,Regular gasoline,13.0,305.0
suv - standard,5.3,8,Automatic,Ethanol (E85),17.1,284.0
suv - standard,5.3,8,Automatic,Ethanol (E85),18.0,299.0
suv - standard,6.2,8,Automatic,Premium gasoline,14.1,330.0
suv - standard,5.3,8,Automatic,Regular gasoline,13.0,305.0
suv - standard,5.3,8,Automatic,Regular gasoline,13.0,305.0
suv - standard,5.3,8,Automatic,Ethanol (E85),17.1,284.0
suv - standard,5.3,8,Automatic,Ethanol (E85),18.4,317.0
suv - standard,6.2,8,Automatic,Premium gasoline,14.2,333.0
mid-size,2.4,4,Continuously variable,Regular gasoline,8.2,190.0
mid-size,2.4,4,Manual,Regular gasoline,9.0,210.0
mid-size,3.5,6,Automatic with select shift,Regular gasoline,9.6,225.0
mid-size,3.5,6,Manual,Regular gasoline,10.9,254.0
mid-size,2.4,4,Continuously variable,Regular gasoline,7.8,180.0
mid-size,3.5,6,Automatic,Regular gasoline,9.5,223.0
mid-size,2.0,4,Continuously variable,Regular gasoline,5.0,114.0
compact,1.5,4,Continuously variable,Regular gasoline,6.8,158.0
compact,1.5,4,Manual,Regular gasoline,6.8,159.0
compact,2.0,4,Continuously variable,Regular gasoline,7.0,163.0
compact,2.0,4,Manual,Regular gasoline,7.4,173.0
mid-size,1.5,4,Continuously variable,Regular gasoline,6.6,153.0
mid-size,2.0,4,Continuously variable,Regular gasoline,7.0,163.0
mid-size,2.0,4,Manual,Regular gasoline,7.4,172.0
full-size,1.5,4,Continuously variable,Regular gasoline,6.9,162.0
full-size,1.5,4,Continuously variable,Regular gasoline,7.3,170.0
full-size,1.5,4,Continuously variable,Premium gasoline,7.3,170.0
full-size,1.5,4,Manual,Regular gasoline,7.2,167.0
full-size,1.5,4,Manual,Premium gasoline,7.2,167.0
suv - small,1.5,4,Continuously variable,Regular gasoline,7.8,181.0
suv - small,1.5,4,Continuously variable,Regular gasoline,8.0,188.0
station wagon - small,1.5,4,Continuously variable,Regular gasoline,6.5,154.0
station wagon - small,1.5,4,Continuously variable,Regular gasoline,7.0,164.0
station wagon - small,1.5,4,Manual,Regular gasoline,7.4,174.0
station wagon - small,1.8,4,Continuously variable,Regular gasoline,7.7,180.0
station wagon - small,1.8,4,Manual,Regular gasoline,8.4,195.0
station wagon - small,1.8,4,Continuously variable,Regular gasoline,8.2,194.0
minivan,3.5,6,Automatic,Regular gasoline,10.7,251.0
suv - small,3.5,6,Automatic,Regular gasoline,10.8,254.0
suv - small,3.5,6,Automatic,Regular gasoline,11.3,266.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,11.0,256.0
pickup truck - standard,3.5,6,Automatic,Regular gasoline,11.3,264.0
compact,1.6,4,Automatic with select shift,Regular gasoline,7.9,182.0
compact,1.6,4,Manual,Regular gasoline,7.8,184.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,7.4,174.0
mid-size,2.0,4,Manual,Regular gasoline,8.0,187.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,8.7,206.0
mid-size,2.0,4,Manual,Regular gasoline,8.7,204.0
full-size,1.6,4,Automated manual,Regular gasoline,4.4,103.0
full-size,1.6,4,Automated manual,Regular gasoline,4.1,96.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,10.0,235.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,11.2,264.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,10.7,253.0
full-size,2.0,4,Automatic with select shift,Regular gasoline,9.2,216.0
full-size,2.4,4,Automatic with select shift,Regular gasoline,8.2,194.0
full-size,2.4,4,Automatic with select shift,Regular gasoline,8.7,207.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,6.0,143.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,5.7,137.0
suv - small,1.6,4,Automated manual,Regular gasoline,9.3,221.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,9.0,213.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,10.2,241.0
compact,1.6,4,Automated manual,Regular gasoline,7.6,180.0
compact,1.6,4,Manual,Regular gasoline,8.0,188.0
compact,1.6,4,Automatic with select shift,Regular gasoline,8.2,193.0
compact,1.6,4,Manual,Regular gasoline,8.4,200.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,9.6,226.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.9,256.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.9,257.0
compact,3.5,6,Automatic with select shift,Premium gasoline,8.5,200.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,10.0,233.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.8,253.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,11.0,259.0
mid-size,3.7,6,Automatic with select shift,Premium gasoline,11.7,274.0
mid-size,3.5,6,Automatic with select shift,Premium gasoline,7.8,184.0
compact,2.0,4,Automated manual,Premium gasoline,8.5,200.0
compact,2.0,4,Automated manual,Premium gasoline,9.4,221.0
station wagon - small,3.7,6,Automatic with select shift,Premium gasoline,11.9,280.0
suv - small,3.5,6,Continuously variable,Premium gasoline,10.5,246.0
suv - small,3.5,6,Continuously variable,Premium gasoline,10.9,257.0
suv - standard,2.5,4,Continuously variable,Regular gasoline,9.1,214.0
suv - small,3.7,6,Automatic with select shift,Premium gasoline,12.8,301.0
suv - standard,5.6,8,Automatic with select shift,Premium gasoline,15.1,355.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,11.8,277.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,10.4,242.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,10.4,242.0
two-seater,5.0,8,Automatic with select shift,Premium gasoline,13.3,311.0
two-seater,5.0,8,Automatic with select shift,Premium gasoline,13.3,311.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,10.8,253.0
two-seater,3.0,6,Manual,Premium gasoline,12.9,302.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,11.3,265.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,10.8,253.0
two-seater,3.0,6,Manual,Premium gasoline,12.9,302.0
two-seater,3.0,6,Automatic with select shift,Premium gasoline,11.3,265.0
compact,2.0,4,Automatic with select shift,Diesel,6.9,186.0
compact,3.0,6,Automatic with select shift,Premium gasoline,10.2,238.0
mid-size,2.0,4,Automatic with select shift,Diesel,6.9,186.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.4,243.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,11.8,276.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,11.9,280.0
full-size,5.0,8,Automatic with select shift,Premium gasoline,13.3,313.0
full-size,5.0,8,Automatic with select shift,Premium gasoline,13.3,313.0
suv - small,2.4,4,Automatic,Regular gasoline,9.6,225.0
suv - small,3.2,6,Automatic,Regular gasoline,10.0,234.0
suv - small,2.4,4,Automatic,Regular gasoline,10.0,235.0
suv - small,3.2,6,Automatic,Regular gasoline,10.3,241.0
suv - small,2.4,4,Automatic,Regular gasoline,10.2,240.0
suv - small,3.2,6,Automatic,Regular gasoline,11.1,259.0
suv - small,2.4,4,Automatic,Regular gasoline,10.9,256.0
suv - small,3.2,6,Automatic,Regular gasoline,11.6,269.0
suv - small,2.0,4,Continuously variable,Regular gasoline,10.0,235.0
suv - small,2.0,4,Manual,Regular gasoline,9.3,216.0
suv - small,2.4,4,Automatic,Regular gasoline,10.1,238.0
suv - small,2.4,4,Manual,Regular gasoline,9.3,219.0
suv - small,2.4,4,Automatic,Regular gasoline,10.6,249.0
suv - small,2.4,4,Continuously variable,Regular gasoline,11.1,259.0
suv - small,2.4,4,Manual,Regular gasoline,9.8,230.0
suv - standard,3.6,6,Automatic,Regular gasoline,11.3,265.0
suv - standard,5.7,8,Automatic,Regular gasoline,14.0,328.0
suv - standard,6.4,8,Automatic,Premium gasoline,15.7,368.0
suv - small,2.4,4,Automatic,Regular gasoline,9.3,218.0
suv - small,2.4,4,Manual,Regular gasoline,9.0,211.0
suv - small,2.4,4,Automatic,Regular gasoline,9.5,222.0
suv - small,2.4,4,Manual,Regular gasoline,9.4,221.0
suv - small,2.0,4,Continuously variable,Regular gasoline,10.0,235.0
suv - small,2.0,4,Manual,Regular gasoline,9.3,216.0
suv - small,2.4,4,Automatic,Regular gasoline,10.1,238.0
suv - small,2.4,4,Manual,Regular gasoline,9.3,219.0
suv - small,2.4,4,Automatic,Regular gasoline,10.6,249.0
suv - small,2.4,4,Continuously variable,Regular gasoline,11.1,259.0
suv - small,2.4,4,Manual,Regular gasoline,9.8,230.0
suv - small,1.4,4,Manual,Regular gasoline,8.9,209.0
suv - small,2.4,4,Automatic,Regular gasoline,9.5,222.0
suv - small,2.4,4,Automatic,Ethanol (E85),12.5,206.0
suv - small,1.4,4,Manual,Regular gasoline,8.9,211.0
suv - small,2.4,4,Automatic,Regular gasoline,9.8,230.0
suv - small,3.6,6,Manual,Regular gasoline,12.8,298.0
suv - small,3.6,6,Automatic,Regular gasoline,13.4,313.0
suv - small,3.6,6,Manual,Regular gasoline,13.3,312.0
full-size,3.3,6,Automatic with select shift,Regular gasoline,10.2,237.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,7.2,170.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,8.3,198.0
mid-size,2.0,4,Manual,Regular gasoline,8.3,195.0
full-size,1.6,4,Automated manual,Regular gasoline,8.7,207.0
full-size,2.0,4,Automatic with select shift,Regular gasoline,8.3,197.0
full-size,2.0,4,Manual,Regular gasoline,8.7,204.0
compact,1.6,4,Automated manual,Regular gasoline,8.6,204.0
compact,1.6,4,Manual,Regular gasoline,9.2,216.0
compact,2.0,4,Automatic with select shift,Regular gasoline,8.6,203.0
compact,2.0,4,Manual,Regular gasoline,8.8,209.0
full-size,3.8,6,Automatic with select shift,Regular gasoline,11.8,279.0
full-size,5.0,8,Automatic with select shift,Premium gasoline,13.3,317.0
station wagon - small,1.6,4,Automated manual,Regular gasoline,4.8,114.0
station wagon - small,1.6,4,Automated manual,Regular gasoline,4.7,110.0
station wagon - small,1.6,4,Automated manual,Regular gasoline,5.4,129.0
full-size,2.4,4,Automatic with select shift,Regular gasoline,8.4,198.0
full-size,2.4,4,Automatic with select shift,Regular gasoline,8.0,190.0
full-size,2.0,4,Automatic with select shift,Regular gasoline,9.4,224.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,5.6,132.0
compact,1.6,4,Automatic with select shift,Regular gasoline,7.8,181.0
compact,1.6,4,Manual,Regular gasoline,7.8,181.0
station wagon - mid-size,2.0,4,Automatic with select shift,Regular gasoline,8.9,210.0
minivan,3.3,6,Automatic with select shift,Regular gasoline,12.5,296.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,9.9,234.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,11.0,259.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,10.5,246.0
suv - small,3.3,6,Automatic with select shift,Regular gasoline,12.2,289.0
suv - small,3.3,6,Automatic with select shift,Regular gasoline,11.4,270.0
station wagon - small,1.6,4,Automatic with select shift,Regular gasoline,8.7,205.0
station wagon - small,1.6,4,Manual,Regular gasoline,8.8,208.0
station wagon - small,2.0,4,Automatic with select shift,Regular gasoline,8.7,206.0
station wagon - small,1.6,4,Automated manual,Regular gasoline,8.5,199.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,9.3,220.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,11.1,263.0
suv - small,2.4,4,Automatic with select shift,Regular gasoline,10.5,247.0
two-seater,6.5,12,Automated manual,Premium gasoline,17.9,428.0
two-seater,6.5,12,Automated manual,Premium gasoline,18.4,429.25010307770526
two-seater,6.5,12,Automated manual,Premium gasoline,18.4,429.25010307770526
two-seater,6.5,12,Automated manual,Premium gasoline,18.4,429.25010307770526
suv - small,2.0,4,Automatic with select shift,Premium gasoline,10.7,252.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.8,231.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,10.4,243.0
mid-size,3.5,6,Automatic with select shift,Regular gasoline,9.7,226.0
mid-size,3.5,6,Automatic with select shift,Premium gasoline,11.0,257.0
mid-size,3.5,6,Continuously variable,Premium gasoline,7.5,176.0
suv - standard,4.6,8,Automatic with select shift,Premium gasoline,14.6,341.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.1,214.0
compact,3.5,6,Automatic with select shift,Premium gasoline,11.0,258.0
compact,3.5,6,Automatic with select shift,Premium gasoline,11.0,258.0
mid-size,4.6,8,Automatic with select shift,Premium gasoline,12.9,303.0
mid-size,4.6,8,Automatic with select shift,Premium gasoline,12.9,303.0
suv - standard,5.7,8,Automatic with select shift,Premium gasoline,15.8,372.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.7,226.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.9,232.0
suv - small,2.5,4,Continuously variable,Regular gasoline,7.5,176.0
subcompact,3.5,6,Automatic with select shift,Premium gasoline,11.0,258.0
subcompact,3.5,6,Automatic with select shift,Premium gasoline,11.0,258.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,10.8,252.0
suv - standard,3.5,6,Continuously variable,Premium gasoline,7.9,185.0
full-size,2.7,6,Automatic with select shift,Regular gasoline,12.0,281.0
full-size,3.0,6,Automatic with select shift,Regular gasoline,12.3,288.0
full-size,3.7,6,Automatic with select shift,Regular gasoline,12.2,287.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,10.9,256.0
suv - small,2.0,4,Automatic with select shift,Regular gasoline,10.8,254.0
suv - small,2.3,4,Automatic with select shift,Regular gasoline,11.4,268.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,13.7,321.0
suv - small,2.7,6,Automatic with select shift,Regular gasoline,12.1,284.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,9.8,230.0
mid-size,3.0,6,Automatic with select shift,Regular gasoline,11.2,264.0
mid-size,2.0,4,Automatic with select shift,Regular gasoline,10.2,239.0
mid-size,3.0,6,Automatic with select shift,Regular gasoline,11.8,278.0
mid-size,2.0,4,Continuously variable,Regular gasoline,5.9,139.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,14.2,333.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,14.5,339.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,12.4,286.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,12.4,293.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,12.6,295.0
subcompact,4.7,8,Automatic with select shift,Premium gasoline,15.1,355.0
subcompact,4.7,8,Automatic with select shift,Premium gasoline,15.2,358.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,14.7,340.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,14.7,346.0
full-size,3.8,8,Automatic with select shift,Premium gasoline,13.8,321.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,13.1,300.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,13.1,301.0
compact,2.0,4,Automatic with select shift,Regular gasoline,7.6,179.0
compact,2.0,4,Automatic with select shift,Regular gasoline,8.2,192.0
suv - small,2.0,4,Manual,Regular gasoline,8.5,199.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,8.6,204.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,9.2,221.0
